model,qid,setting,output,has_html,ts
gpt4o,HIST001,gold,John F. Kennedy,False,2025-09-16T11:56:58.141898
gpt4o,HIST001,para,John F. Kennedy,False,2025-09-16T11:56:59.758856
gpt4o,HIST001,dist,John F. Kennedy,False,2025-09-16T11:57:01.194220
gpt4o,HIST001,para_dist,John F. Kennedy,False,2025-09-16T11:57:02.330441
gpt4o,HIST002,gold,Roman Empire,False,2025-09-16T11:57:03.548574
gpt4o,HIST002,para,Flavian dynasty,False,2025-09-16T11:57:05.130415
gpt4o,HIST002,dist,Roman Empire,False,2025-09-16T11:57:05.779587
gpt4o,HIST002,para_dist,Flavian dynasty,False,2025-09-16T11:57:07.131805
gpt4o,HIST003,gold,King George III,False,2025-09-16T11:57:07.606161
gpt4o,HIST003,para,King George III,False,2025-09-16T11:57:08.194701
gpt4o,HIST003,dist,King George III,False,2025-09-16T11:57:08.963617
gpt4o,HIST003,para_dist,King George III,False,2025-09-16T11:57:09.596871
gpt4o,HIST004,gold,Georges Clemenceau,False,2025-09-16T11:57:10.203788
gpt4o,HIST004,para,Georges Clemenceau,False,2025-09-16T11:57:10.921746
gpt4o,HIST004,dist,Georges Clemenceau,False,2025-09-16T11:57:12.458338
gpt4o,HIST004,para_dist,Georges Clemenceau,False,2025-09-16T11:57:13.483677
gpt4o,HIST005,gold,Qin Shi Huang,False,2025-09-16T11:57:14.096150
gpt4o,HIST005,para,Qin Shi Huang,False,2025-09-16T11:57:14.791297
gpt4o,HIST005,dist,Qin Shi Huang,False,2025-09-16T11:57:15.736063
gpt4o,HIST005,para_dist,Qin Shi Huang,False,2025-09-16T11:57:16.349669
gpt4o,HIST006,gold,World War I,False,2025-09-16T11:57:16.941730
gpt4o,HIST006,para,Archduke Franz Ferdinand was assassinated.,False,2025-09-16T11:57:17.766179
gpt4o,HIST006,dist,World War I.,False,2025-09-16T11:57:18.398280
gpt4o,HIST006,para_dist,Archduke Franz Ferdinand was assassinated.,False,2025-09-16T11:57:19.835998
gpt4o,HIST007,gold,Joseph Stalin,False,2025-09-16T11:57:20.304100
gpt4o,HIST007,para,Joseph Stalin,False,2025-09-16T11:57:21.170574
gpt4o,HIST007,dist,Joseph Stalin.,False,2025-09-16T11:57:22.104176
gpt4o,HIST007,para_dist,Joseph Stalin,False,2025-09-16T11:57:23.012307
gpt4o,HIST008,gold,Abraham Lincoln,False,2025-09-16T11:57:23.849322
gpt4o,HIST008,para,Abraham Lincoln,False,2025-09-16T11:57:24.363431
gpt4o,HIST008,dist,Abraham Lincoln,False,2025-09-16T11:57:25.164083
gpt4o,HIST008,para_dist,Abraham Lincoln,False,2025-09-16T11:57:25.667665
gpt4o,HIST009,gold,Margaret Thatcher,False,2025-09-16T11:57:26.385255
gpt4o,HIST009,para,Margaret Thatcher,False,2025-09-16T11:57:27.100654
gpt4o,HIST009,dist,Margaret Thatcher,False,2025-09-16T11:57:27.710576
gpt4o,HIST009,para_dist,Margaret Thatcher,False,2025-09-16T11:57:28.642555
gpt4o,HIST010,gold,Inca civilization,False,2025-09-16T11:57:29.354038
gpt4o,HIST010,para,Inca civilization,False,2025-09-16T11:57:30.129533
gpt4o,HIST010,dist,Inca civilization,False,2025-09-16T11:57:31.133948
gpt4o,HIST010,para_dist,Inca civilization,False,2025-09-16T11:57:31.934369
gpt4o,SCI001,gold,H2O,False,2025-09-16T11:57:32.733614
gpt4o,SCI001,para,H2O,False,2025-09-16T11:57:33.454339
gpt4o,SCI001,dist,H2O,False,2025-09-16T11:57:34.167307
gpt4o,SCI001,para_dist,H2O,False,2025-09-16T11:57:34.781525
gpt4o,SCI002,gold,Carbon,False,2025-09-16T11:57:35.498868
gpt4o,SCI002,para,Carbon,False,2025-09-16T11:57:36.123797
gpt4o,SCI002,dist,Carbon,False,2025-09-16T11:57:36.726057
gpt4o,SCI002,para_dist,carbon,False,2025-09-16T11:57:37.337546
gpt4o,SCI003,gold,carbon dioxide (CO2),False,2025-09-16T11:57:38.058138
gpt4o,SCI003,para,carbon dioxide (CO2),False,2025-09-16T11:57:39.079957
gpt4o_mini,HIST001,gold,John F. Kennedy,False,2025-09-16T12:04:38.236009
gpt4o_mini,HIST001,para,John F. Kennedy,False,2025-09-16T12:04:38.882004
gpt4o_mini,HIST001,dist,John F. Kennedy,False,2025-09-16T12:04:39.553950
gpt4o_mini,HIST001,para_dist,John F. Kennedy,False,2025-09-16T12:04:40.216687
gpt4o_mini,HIST002,gold,Roman Empire,False,2025-09-16T12:04:40.871965
gpt4o_mini,HIST002,para,Flavian dynasty,False,2025-09-16T12:04:41.387664
gpt4o_mini,HIST002,dist,Roman Empire,False,2025-09-16T12:04:41.895299
gpt4o_mini,HIST002,para_dist,Flavian dynasty,False,2025-09-16T12:04:42.618848
gpt4o_mini,HIST003,gold,King George III,False,2025-09-16T12:04:43.229223
gpt4o_mini,HIST003,para,King George III,False,2025-09-16T12:04:43.841755
gpt4o_mini,HIST003,dist,King George III,False,2025-09-16T12:04:44.455169
gpt4o_mini,HIST003,para_dist,King George III,False,2025-09-16T12:04:45.070613
gpt4o_mini,HIST004,gold,Georges Clemenceau,False,2025-09-16T12:04:45.825258
gpt4o_mini,HIST004,para,Georges Clemenceau,False,2025-09-16T12:04:47.118866
gpt4o_mini,HIST004,dist,Georges Clemenceau,False,2025-09-16T12:04:47.837064
gpt4o_mini,HIST004,para_dist,Georges Clemenceau,False,2025-09-16T12:04:48.345166
gpt4o_mini,HIST005,gold,Qin Shi Huang,False,2025-09-16T12:04:48.859411
