qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,gemini_pro,dist,1,1.0,711.0,0,0,0.0
GEO001,geography,gemini_pro,gold,1,1.0,618.0,0,0,0.0
GEO001,geography,gemini_pro,para,1,1.0,608.0,0,0,0.0
GEO001,geography,gemini_pro,para_dist,1,1.0,484.0,0,0,0.0
GEO002,geography,gemini_pro,dist,1,1.0,493.0,0,0,0.0
GEO002,geography,gemini_pro,gold,1,1.0,510.0,0,0,0.0
GEO002,geography,gemini_pro,para,0,0.6666666666666666,513.0,0,0,0.0
GEO002,geography,gemini_pro,para_dist,0,0.6666666666666666,514.0,0,0,0.0
GEO003,geography,gemini_pro,dist,1,1.0,495.0,0,0,0.0
GEO003,geography,gemini_pro,gold,1,1.0,588.0,0,0,0.0
GEO003,geography,gemini_pro,para,1,1.0,476.0,0,0,0.0
GEO003,geography,gemini_pro,para_dist,1,1.0,566.0,0,0,0.0
GEO004,geography,gemini_pro,dist,1,1.0,518.0,0,0,0.0
GEO004,geography,gemini_pro,gold,1,1.0,509.0,0,0,0.0
GEO004,geography,gemini_pro,para,1,1.0,445.0,0,0,0.0
GEO004,geography,gemini_pro,para_dist,1,1.0,1023.0,0,0,0.0
GEO005,geography,gemini_pro,dist,1,1.0,614.0,0,0,0.0
GEO005,geography,gemini_pro,gold,1,1.0,470.0,0,0,0.0
GEO005,geography,gemini_pro,para,1,1.0,635.0,0,0,0.0
GEO005,geography,gemini_pro,para_dist,1,1.0,780.0,0,0,0.0
GEO006,geography,gemini_pro,dist,1,1.0,509.0,0,0,0.0
GEO006,geography,gemini_pro,gold,1,1.0,597.0,0,0,0.0
GEO006,geography,gemini_pro,para,1,1.0,618.0,0,0,0.0
GEO006,geography,gemini_pro,para_dist,1,1.0,513.0,0,0,0.0
GEO007,geography,gemini_pro,dist,1,1.0,475.0,0,0,0.0
GEO007,geography,gemini_pro,gold,1,1.0,510.0,0,0,0.0
GEO007,geography,gemini_pro,para,1,1.0,589.0,0,0,0.0
GEO007,geography,gemini_pro,para_dist,1,1.0,511.0,0,0,0.0
GEO008,geography,gemini_pro,dist,1,1.0,518.0,0,0,0.0
GEO008,geography,gemini_pro,gold,1,1.0,409.0,0,0,0.0
GEO008,geography,gemini_pro,para,1,1.0,512.0,0,0,0.0
GEO008,geography,gemini_pro,para_dist,1,1.0,418.0,0,0,0.0
GEO009,geography,gemini_pro,dist,1,1.0,496.0,0,0,0.0
GEO009,geography,gemini_pro,gold,1,1.0,460.0,0,0,0.0
GEO009,geography,gemini_pro,para,1,1.0,613.0,0,0,0.0
GEO009,geography,gemini_pro,para_dist,1,1.0,428.0,0,0,0.0
GEO010,geography,gemini_pro,dist,1,1.0,415.0,0,0,0.0
GEO010,geography,gemini_pro,gold,1,1.0,487.0,0,0,0.0
GEO010,geography,gemini_pro,para,1,1.0,537.0,0,0,0.0
GEO010,geography,gemini_pro,para_dist,1,1.0,500.0,0,0,0.0
HIST001,history,gemini_pro,dist,1,1.0,585.0,0,0,0.0
HIST001,history,gemini_pro,gold,1,1.0,687.0,0,0,0.0
HIST001,history,gemini_pro,para,1,1.0,686.0,0,0,0.0
HIST001,history,gemini_pro,para_dist,1,1.0,494.0,0,0,0.0
HIST002,history,gemini_pro,dist,1,1.0,664.0,0,0,0.0
HIST002,history,gemini_pro,gold,1,1.0,432.0,0,0,0.0
HIST002,history,gemini_pro,para,0,0.0,536.0,0,0,0.0
HIST002,history,gemini_pro,para_dist,0,0.0,676.0,0,0,0.0
HIST003,history,gemini_pro,dist,1,1.0,474.0,0,0,0.0
HIST003,history,gemini_pro,gold,1,1.0,554.0,0,0,0.0
HIST003,history,gemini_pro,para,1,1.0,536.0,0,0,0.0
HIST003,history,gemini_pro,para_dist,1,1.0,566.0,0,0,0.0
HIST004,history,gemini_pro,dist,1,1.0,470.0,0,0,0.0
HIST004,history,gemini_pro,gold,1,1.0,566.0,0,0,0.0
HIST004,history,gemini_pro,para,1,1.0,613.0,0,0,0.0
HIST004,history,gemini_pro,para_dist,1,1.0,574.0,0,0,0.0
HIST005,history,gemini_pro,dist,1,1.0,559.0,0,0,0.0
HIST005,history,gemini_pro,gold,1,1.0,483.0,0,0,0.0
HIST005,history,gemini_pro,para,1,1.0,569.0,0,0,0.0
HIST005,history,gemini_pro,para_dist,1,1.0,522.0,0,0,0.0
HIST006,history,gemini_pro,dist,1,1.0,458.0,0,0,0.0
HIST006,history,gemini_pro,gold,1,1.0,441.0,0,0,0.0
HIST006,history,gemini_pro,para,0,0.0,611.0,0,0,0.0
HIST006,history,gemini_pro,para_dist,0,0.0,588.0,0,0,0.0
HIST007,history,gemini_pro,dist,1,1.0,611.0,0,0,0.0
HIST007,history,gemini_pro,gold,1,1.0,481.0,0,0,0.0
HIST007,history,gemini_pro,para,1,1.0,501.0,0,0,0.0
HIST007,history,gemini_pro,para_dist,1,1.0,513.0,0,0,0.0
HIST008,history,gemini_pro,dist,1,1.0,821.0,0,0,0.0
HIST008,history,gemini_pro,gold,1,1.0,476.0,0,0,0.0
HIST008,history,gemini_pro,para,1,1.0,429.0,0,0,0.0
