qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,gpt4o,dist,0,0.0,725.0,0,0,0.0
GEO001,geography,gpt4o,gold,1,1.0,818.0,0,0,0.0
GEO001,geography,gpt4o,para,0,0.6666666666666666,523.0,0,0,0.0
GEO001,geography,gpt4o,para_dist,0,0.6666666666666666,876.0,0,0,0.0
GEO002,geography,gpt4o,dist,0,0.6666666666666666,784.0,0,0,0.0
GEO002,geography,gpt4o,gold,0,0.6666666666666666,517.0,0,0,0.0
GEO002,geography,gpt4o,para,0,0.6666666666666666,715.0,0,0,0.0
GEO002,geography,gpt4o,para_dist,0,0.6666666666666666,764.0,0,0,0.0
GEO003,geography,gpt4o,dist,1,1.0,550.0,0,0,0.0
GEO003,geography,gpt4o,gold,1,1.0,818.0,0,0,0.0
GEO003,geography,gpt4o,para,1,1.0,614.0,0,0,0.0
GEO003,geography,gpt4o,para_dist,1,1.0,615.0,0,0,0.0
GEO004,geography,gpt4o,dist,1,1.0,631.0,0,0,0.0
GEO004,geography,gpt4o,gold,1,1.0,613.0,0,0,0.0
GEO004,geography,gpt4o,para,1,1.0,695.0,0,0,0.0
GEO004,geography,gpt4o,para_dist,1,1.0,660.0,0,0,0.0
GEO005,geography,gpt4o,dist,1,1.0,686.0,0,0,0.0
GEO005,geography,gpt4o,gold,1,1.0,626.0,0,0,0.0
GEO005,geography,gpt4o,para,1,1.0,701.0,0,0,0.0
GEO005,geography,gpt4o,para_dist,1,1.0,667.0,0,0,0.0
GEO006,geography,gpt4o,dist,1,1.0,614.0,0,0,0.0
GEO006,geography,gpt4o,gold,1,1.0,786.0,0,0,0.0
GEO006,geography,gpt4o,para,1,1.0,826.0,0,0,0.0
GEO006,geography,gpt4o,para_dist,1,1.0,716.0,0,0,0.0
GEO007,geography,gpt4o,dist,1,1.0,613.0,0,0,0.0
GEO007,geography,gpt4o,gold,1,1.0,615.0,0,0,0.0
GEO007,geography,gpt4o,para,1,1.0,747.0,0,0,0.0
GEO007,geography,gpt4o,para_dist,1,1.0,726.0,0,0,0.0
GEO008,geography,gpt4o,dist,1,1.0,922.0,0,0,0.0
GEO008,geography,gpt4o,gold,1,1.0,638.0,0,0,0.0
GEO008,geography,gpt4o,para,1,1.0,716.0,0,0,0.0
GEO008,geography,gpt4o,para_dist,1,1.0,716.0,0,0,0.0
GEO009,geography,gpt4o,dist,1,1.0,716.0,0,0,0.0
GEO009,geography,gpt4o,gold,1,1.0,789.0,0,0,0.0
GEO009,geography,gpt4o,para,1,1.0,973.0,0,0,0.0
GEO009,geography,gpt4o,para_dist,1,1.0,614.0,0,0,0.0
GEO010,geography,gpt4o,dist,1,1.0,817.0,0,0,0.0
GEO010,geography,gpt4o,gold,1,1.0,609.0,0,0,0.0
GEO010,geography,gpt4o,para,1,1.0,842.0,0,0,0.0
GEO010,geography,gpt4o,para_dist,1,1.0,614.0,0,0,0.0
HIST001,history,gpt4o,dist,1,1.0,874.0,0,0,0.0
HIST001,history,gpt4o,gold,1,1.0,978.0,0,0,0.0
HIST001,history,gpt4o,para,1,1.0,1392.0,0,0,0.0
HIST001,history,gpt4o,para_dist,1,1.0,819.0,0,0,0.0
HIST002,history,gpt4o,dist,1,1.0,649.0,0,0,0.0
HIST002,history,gpt4o,gold,1,1.0,920.0,0,0,0.0
HIST002,history,gpt4o,para,0,0.0,699.0,0,0,0.0
HIST002,history,gpt4o,para_dist,0,0.0,841.0,0,0,0.0
HIST003,history,gpt4o,dist,1,1.0,658.0,0,0,0.0
HIST003,history,gpt4o,gold,1,1.0,655.0,0,0,0.0
HIST003,history,gpt4o,para,1,1.0,588.0,0,0,0.0
HIST003,history,gpt4o,para_dist,1,1.0,715.0,0,0,0.0
HIST004,history,gpt4o,dist,1,1.0,717.0,0,0,0.0
HIST004,history,gpt4o,gold,1,1.0,674.0,0,0,0.0
HIST004,history,gpt4o,para,1,1.0,717.0,0,0,0.0
HIST004,history,gpt4o,para_dist,1,1.0,945.0,0,0,0.0
HIST005,history,gpt4o,dist,1,1.0,782.0,0,0,0.0
HIST005,history,gpt4o,gold,1,1.0,666.0,0,0,0.0
HIST005,history,gpt4o,para,1,1.0,695.0,0,0,0.0
HIST005,history,gpt4o,para_dist,1,1.0,717.0,0,0,0.0
HIST006,history,gpt4o,dist,1,1.0,729.0,0,0,0.0
HIST006,history,gpt4o,gold,1,1.0,591.0,0,0,0.0
HIST006,history,gpt4o,para,0,0.0,819.0,0,0,0.0
HIST006,history,gpt4o,para_dist,0,0.0,806.0,0,0,0.0
HIST007,history,gpt4o,dist,1,1.0,933.0,0,0,0.0
HIST007,history,gpt4o,gold,1,1.0,638.0,0,0,0.0
HIST007,history,gpt4o,para,1,1.0,836.0,0,0,0.0
HIST007,history,gpt4o,para_dist,1,1.0,936.0,0,0,0.0
HIST008,history,gpt4o,dist,1,1.0,569.0,0,0,0.0
HIST008,history,gpt4o,gold,1,1.0,747.0,0,0,0.0
HIST008,history,gpt4o,para,1,1.0,605.0,0,0,0.0
HIST008,history,gpt4o,para_dist,1,1.0,503.0,0,0,0.0
HIST009,history,gpt4o,dist,1,1.0,660.0,0,0,0.0
HIST009,history,gpt4o,gold,1,1.0,717.0,0,0,0.0
HIST009,history,gpt4o,para,1,1.0,715.0,0,0,0.0
HIST009,history,gpt4o,para_dist,1,1.0,664.0,0,0,0.0
HIST010,history,gpt4o,dist,0,0.6666666666666666,666.0,0,0,0.0
HIST010,history,gpt4o,gold,0,0.6666666666666666,711.0,0,0,0.0
HIST010,history,gpt4o,para,0,0.6666666666666666,775.0,0,0,0.0
HIST010,history,gpt4o,para_dist,0,0.6666666666666666,883.0,0,0,0.0
LIT001,literature,gpt4o,dist,1,1.0,1197.0,0,0,0.0
LIT001,literature,gpt4o,gold,1,1.0,745.0,0,0,0.0
LIT001,literature,gpt4o,para,1,1.0,608.0,0,0,0.0
LIT001,literature,gpt4o,para_dist,1,1.0,685.0,0,0,0.0
LIT002,literature,gpt4o,dist,1,1.0,1331.0,0,0,0.0
LIT002,literature,gpt4o,gold,1,1.0,688.0,0,0,0.0
LIT002,literature,gpt4o,para,1,1.0,655.0,0,0,0.0
LIT002,literature,gpt4o,para_dist,1,1.0,676.0,0,0,0.0
LIT003,literature,gpt4o,dist,1,1.0,921.0,0,0,0.0
LIT003,literature,gpt4o,gold,1,1.0,740.0,0,0,0.0
LIT003,literature,gpt4o,para,1,1.0,685.0,0,0,0.0
LIT003,literature,gpt4o,para_dist,1,1.0,714.0,0,0,0.0
LIT004,literature,gpt4o,dist,1,1.0,716.0,0,0,0.0
LIT004,literature,gpt4o,gold,1,1.0,715.0,0,0,0.0
LIT004,literature,gpt4o,para,1,1.0,788.0,0,0,0.0
LIT004,literature,gpt4o,para_dist,1,1.0,664.0,0,0,0.0
LIT005,literature,gpt4o,dist,1,1.0,716.0,0,0,0.0
LIT005,literature,gpt4o,gold,1,1.0,599.0,0,0,0.0
LIT005,literature,gpt4o,para,1,1.0,852.0,0,0,0.0
LIT005,literature,gpt4o,para_dist,1,1.0,789.0,0,0,0.0
LIT006,literature,gpt4o,dist,1,1.0,671.0,0,0,0.0
LIT006,literature,gpt4o,gold,1,1.0,729.0,0,0,0.0
LIT006,literature,gpt4o,para,1,1.0,705.0,0,0,0.0
LIT006,literature,gpt4o,para_dist,1,1.0,651.0,0,0,0.0
LIT007,literature,gpt4o,dist,1,1.0,715.0,0,0,0.0
LIT007,literature,gpt4o,gold,1,1.0,693.0,0,0,0.0
LIT007,literature,gpt4o,para,1,1.0,511.0,0,0,0.0
LIT007,literature,gpt4o,para_dist,1,1.0,627.0,0,0,0.0
LIT008,literature,gpt4o,dist,1,1.0,647.0,0,0,0.0
LIT008,literature,gpt4o,gold,1,1.0,553.0,0,0,0.0
LIT008,literature,gpt4o,para,1,1.0,706.0,0,0,0.0
LIT008,literature,gpt4o,para_dist,1,1.0,1207.0,0,0,0.0
LIT009,literature,gpt4o,dist,1,1.0,662.0,0,0,0.0
LIT009,literature,gpt4o,gold,1,1.0,628.0,0,0,0.0
LIT009,literature,gpt4o,para,1,1.0,565.0,0,0,0.0
LIT009,literature,gpt4o,para_dist,1,1.0,614.0,0,0,0.0
LIT010,literature,gpt4o,dist,1,1.0,792.0,0,0,0.0
LIT010,literature,gpt4o,gold,1,1.0,761.0,0,0,0.0
LIT010,literature,gpt4o,para,1,1.0,669.0,0,0,0.0
LIT010,literature,gpt4o,para_dist,1,1.0,660.0,0,0,0.0
POL001,politics,gpt4o,dist,1,1.0,1015.0,0,0,0.0
POL001,politics,gpt4o,gold,1,1.0,697.0,0,0,0.0
POL001,politics,gpt4o,para,1,1.0,738.0,0,0,0.0
POL001,politics,gpt4o,para_dist,1,1.0,686.0,0,0,0.0
POL002,politics,gpt4o,dist,1,1.0,716.0,0,0,0.0
POL002,politics,gpt4o,gold,1,1.0,616.0,0,0,0.0
POL002,politics,gpt4o,para,1,1.0,819.0,0,0,0.0
POL002,politics,gpt4o,para_dist,1,1.0,661.0,0,0,0.0
POL003,politics,gpt4o,dist,0,0.2857142857142857,737.0,0,0,0.0
