qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,gpt4o_mini,dist,0,0.0,748.0,0,0,0.0
GEO001,geography,gpt4o_mini,gold,0,0.5,563.0,0,0,0.16666666666666663
GEO001,geography,gpt4o_mini,para,1,1.0,551.0,0,0,0.0
GEO001,geography,gpt4o_mini,para_dist,1,1.0,554.0,0,0,0.0
GEO002,geography,gpt4o_mini,dist,0,0.6666666666666666,718.0,0,0,0.0
GEO002,geography,gpt4o_mini,gold,0,0.6666666666666666,599.0,0,0,0.0
GEO002,geography,gpt4o_mini,para,0,0.6666666666666666,670.0,0,0,0.0
GEO002,geography,gpt4o_mini,para_dist,0,0.6666666666666666,476.0,0,0,0.0
GEO003,geography,gpt4o_mini,dist,1,1.0,681.0,0,0,0.0
GEO003,geography,gpt4o_mini,gold,1,1.0,530.0,0,0,0.0
GEO003,geography,gpt4o_mini,para,1,1.0,584.0,0,0,0.0
GEO003,geography,gpt4o_mini,para_dist,1,1.0,510.0,0,0,0.0
GEO004,geography,gpt4o_mini,dist,1,1.0,818.0,0,0,0.0
GEO004,geography,gpt4o_mini,gold,1,1.0,613.0,0,0,0.0
GEO004,geography,gpt4o_mini,para,1,1.0,638.0,0,0,0.0
GEO004,geography,gpt4o_mini,para_dist,1,1.0,561.0,0,0,0.0
GEO005,geography,gpt4o_mini,dist,1,1.0,786.0,0,0,0.0
GEO005,geography,gpt4o_mini,gold,1,1.0,816.0,0,0,0.0
GEO005,geography,gpt4o_mini,para,1,1.0,541.0,0,0,0.0
GEO005,geography,gpt4o_mini,para_dist,1,1.0,514.0,0,0,0.0
GEO006,geography,gpt4o_mini,dist,1,1.0,797.0,0,0,0.0
GEO006,geography,gpt4o_mini,gold,1,1.0,611.0,0,0,0.0
GEO006,geography,gpt4o_mini,para,1,1.0,562.0,0,0,0.0
GEO006,geography,gpt4o_mini,para_dist,1,1.0,607.0,0,0,0.0
GEO007,geography,gpt4o_mini,dist,1,1.0,639.0,0,0,0.0
GEO007,geography,gpt4o_mini,gold,1,1.0,1049.0,0,0,0.0
GEO007,geography,gpt4o_mini,para,1,1.0,615.0,0,0,0.0
GEO007,geography,gpt4o_mini,para_dist,1,1.0,680.0,0,0,0.0
GEO008,geography,gpt4o_mini,dist,1,1.0,579.0,0,0,0.0
GEO008,geography,gpt4o_mini,gold,1,1.0,708.0,0,0,0.0
GEO008,geography,gpt4o_mini,para,1,1.0,718.0,0,0,0.0
GEO008,geography,gpt4o_mini,para_dist,1,1.0,593.0,0,0,0.0
GEO009,geography,gpt4o_mini,dist,1,1.0,743.0,0,0,0.0
GEO009,geography,gpt4o_mini,gold,1,1.0,620.0,0,0,0.0
GEO009,geography,gpt4o_mini,para,1,1.0,692.0,0,0,0.0
GEO009,geography,gpt4o_mini,para_dist,1,1.0,688.0,0,0,0.0
GEO010,geography,gpt4o_mini,dist,1,1.0,640.0,0,0,0.0
GEO010,geography,gpt4o_mini,gold,1,1.0,718.0,0,0,0.0
GEO010,geography,gpt4o_mini,para,1,1.0,624.0,0,0,0.0
GEO010,geography,gpt4o_mini,para_dist,1,1.0,566.0,0,0,0.0
HIST001,history,gpt4o_mini,dist,1,1.0,614.0,0,0,0.0
HIST001,history,gpt4o_mini,gold,1,1.0,1196.0,0,0,0.0
HIST001,history,gpt4o_mini,para,1,1.0,791.0,0,0,0.0
HIST001,history,gpt4o_mini,para_dist,1,1.0,618.0,0,0,0.0
HIST002,history,gpt4o_mini,dist,1,1.0,622.0,0,0,0.0
HIST002,history,gpt4o_mini,gold,1,1.0,628.0,0,0,0.0
HIST002,history,gpt4o_mini,para,0,0.0,603.0,0,0,0.0
HIST002,history,gpt4o_mini,para_dist,0,0.0,688.0,0,0,0.0
HIST003,history,gpt4o_mini,dist,1,1.0,614.0,0,0,0.0
HIST003,history,gpt4o_mini,gold,1,1.0,611.0,0,0,0.0
HIST003,history,gpt4o_mini,para,1,1.0,646.0,0,0,0.0
HIST003,history,gpt4o_mini,para_dist,1,1.0,820.0,0,0,0.0
HIST004,history,gpt4o_mini,dist,1,1.0,718.0,0,0,0.0
HIST004,history,gpt4o_mini,gold,1,1.0,919.0,0,0,0.0
HIST004,history,gpt4o_mini,para,1,1.0,660.0,0,0,0.0
HIST004,history,gpt4o_mini,para_dist,1,1.0,546.0,0,0,0.0
HIST005,history,gpt4o_mini,dist,1,1.0,553.0,0,0,0.0
HIST005,history,gpt4o_mini,gold,1,1.0,698.0,0,0,0.0
HIST005,history,gpt4o_mini,para,1,1.0,724.0,0,0,0.0
HIST005,history,gpt4o_mini,para_dist,1,1.0,692.0,0,0,0.0
HIST006,history,gpt4o_mini,dist,1,1.0,563.0,0,0,0.0
HIST006,history,gpt4o_mini,gold,1,1.0,717.0,0,0,0.0
HIST006,history,gpt4o_mini,para,0,0.0,817.0,0,0,0.0
HIST006,history,gpt4o_mini,para_dist,0,0.0,799.0,0,0,0.0
HIST007,history,gpt4o_mini,dist,1,1.0,1383.0,0,0,0.0
HIST007,history,gpt4o_mini,gold,1,1.0,662.0,0,0,0.0
HIST007,history,gpt4o_mini,para,1,1.0,562.0,0,0,0.0
HIST007,history,gpt4o_mini,para_dist,1,1.0,622.0,0,0,0.0
HIST008,history,gpt4o_mini,dist,1,1.0,614.0,0,0,0.0
HIST008,history,gpt4o_mini,gold,1,1.0,607.0,0,0,0.0
HIST008,history,gpt4o_mini,para,1,1.0,615.0,0,0,0.0
HIST008,history,gpt4o_mini,para_dist,1,1.0,660.0,0,0,0.0
HIST009,history,gpt4o_mini,dist,1,1.0,619.0,0,0,0.0
HIST009,history,gpt4o_mini,gold,1,1.0,816.0,0,0,0.0
HIST009,history,gpt4o_mini,para,1,1.0,811.0,0,0,0.0
HIST009,history,gpt4o_mini,para_dist,1,1.0,613.0,0,0,0.0
HIST010,history,gpt4o_mini,dist,1,1.0,612.0,0,0,0.0
HIST010,history,gpt4o_mini,gold,0,0.6666666666666666,722.0,0,0,0.0
HIST010,history,gpt4o_mini,para,0,0.6666666666666666,684.0,0,0,0.0
HIST010,history,gpt4o_mini,para_dist,1,1.0,710.0,0,0,0.0
LIT001,literature,gpt4o_mini,dist,1,1.0,756.0,0,0,0.0
LIT001,literature,gpt4o_mini,gold,1,1.0,773.0,0,0,0.0
LIT001,literature,gpt4o_mini,para,1,1.0,626.0,0,0,0.0
LIT001,literature,gpt4o_mini,para_dist,1,1.0,572.0,0,0,0.0
LIT002,literature,gpt4o_mini,dist,1,1.0,643.0,0,0,0.0
LIT002,literature,gpt4o_mini,gold,1,1.0,613.0,0,0,0.0
LIT002,literature,gpt4o_mini,para,1,1.0,637.0,0,0,0.0
LIT002,literature,gpt4o_mini,para_dist,1,1.0,685.0,0,0,0.0
LIT003,literature,gpt4o_mini,dist,1,1.0,578.0,0,0,0.0
LIT003,literature,gpt4o_mini,gold,1,1.0,1356.0,0,0,0.0
LIT003,literature,gpt4o_mini,para,1,1.0,785.0,0,0,0.0
LIT003,literature,gpt4o_mini,para_dist,1,1.0,1023.0,0,0,0.0
LIT004,literature,gpt4o_mini,dist,1,1.0,516.0,0,0,0.0
LIT004,literature,gpt4o_mini,gold,1,1.0,520.0,0,0,0.0
LIT004,literature,gpt4o_mini,para,1,1.0,711.0,0,0,0.0
LIT004,literature,gpt4o_mini,para_dist,1,1.0,643.0,0,0,0.0
LIT005,literature,gpt4o_mini,dist,1,1.0,648.0,0,0,0.0
LIT005,literature,gpt4o_mini,gold,1,1.0,819.0,0,0,0.0
LIT005,literature,gpt4o_mini,para,1,1.0,623.0,0,0,0.0
LIT005,literature,gpt4o_mini,para_dist,1,1.0,709.0,0,0,0.0
LIT006,literature,gpt4o_mini,dist,1,1.0,710.0,0,0,0.0
LIT006,literature,gpt4o_mini,gold,1,1.0,648.0,0,0,0.0
LIT006,literature,gpt4o_mini,para,1,1.0,553.0,0,0,0.0
LIT006,literature,gpt4o_mini,para_dist,1,1.0,820.0,0,0,0.0
LIT007,literature,gpt4o_mini,dist,1,1.0,611.0,0,0,0.0
LIT007,literature,gpt4o_mini,gold,1,1.0,570.0,0,0,0.0
LIT007,literature,gpt4o_mini,para,1,1.0,676.0,0,0,0.0
LIT007,literature,gpt4o_mini,para_dist,1,1.0,532.0,0,0,0.0
LIT008,literature,gpt4o_mini,dist,1,1.0,719.0,0,0,0.0
LIT008,literature,gpt4o_mini,gold,1,1.0,684.0,0,0,0.0
LIT008,literature,gpt4o_mini,para,1,1.0,512.0,0,0,0.0
LIT008,literature,gpt4o_mini,para_dist,1,1.0,615.0,0,0,0.0
LIT009,literature,gpt4o_mini,dist,1,1.0,713.0,0,0,0.0
LIT009,literature,gpt4o_mini,gold,1,1.0,600.0,0,0,0.0
LIT009,literature,gpt4o_mini,para,1,1.0,607.0,0,0,0.0
LIT009,literature,gpt4o_mini,para_dist,1,1.0,615.0,0,0,0.0
LIT010,literature,gpt4o_mini,dist,1,1.0,655.0,0,0,0.0
LIT010,literature,gpt4o_mini,gold,1,1.0,593.0,0,0,0.0
LIT010,literature,gpt4o_mini,para,1,1.0,502.0,0,0,0.0
