qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,llama31_8b,dist,0,0.6666666666666666,1016.0,0,0,0.0
GEO001,geography,llama31_8b,gold,0,0.6666666666666666,1049.0,0,0,0.0
GEO001,geography,llama31_8b,para,0,0.6666666666666666,820.0,0,0,0.0
GEO001,geography,llama31_8b,para_dist,0,0.6666666666666666,915.0,0,0,0.0
GEO002,geography,llama31_8b,dist,0,0.6666666666666666,831.0,0,0,0.0
GEO002,geography,llama31_8b,gold,0,0.6666666666666666,717.0,0,0,0.0
GEO002,geography,llama31_8b,para,0,0.6666666666666666,923.0,0,0,0.0
GEO002,geography,llama31_8b,para_dist,0,0.6666666666666666,818.0,0,0,0.0
GEO003,geography,llama31_8b,dist,1,1.0,762.0,0,0,0.0
GEO003,geography,llama31_8b,gold,1,1.0,819.0,0,0,0.0
GEO003,geography,llama31_8b,para,1,1.0,878.0,0,0,0.0
GEO003,geography,llama31_8b,para_dist,1,1.0,768.0,0,0,0.0
GEO004,geography,llama31_8b,dist,1,1.0,806.0,0,0,0.0
GEO004,geography,llama31_8b,gold,1,1.0,821.0,0,0,0.0
GEO004,geography,llama31_8b,para,1,1.0,926.0,0,0,0.0
GEO004,geography,llama31_8b,para_dist,1,1.0,796.0,0,0,0.0
GEO005,geography,llama31_8b,dist,1,1.0,937.0,0,0,0.0
GEO005,geography,llama31_8b,gold,1,1.0,893.0,0,0,0.0
GEO005,geography,llama31_8b,para,1,1.0,848.0,0,0,0.0
GEO005,geography,llama31_8b,para_dist,1,1.0,770.0,0,0,0.0
GEO006,geography,llama31_8b,dist,0,0.8,820.0,0,0,0.0
GEO006,geography,llama31_8b,gold,1,1.0,745.0,0,0,0.0
GEO006,geography,llama31_8b,para,1,1.0,775.0,0,0,0.0
GEO006,geography,llama31_8b,para_dist,0,0.8,893.0,0,0,0.0
GEO007,geography,llama31_8b,dist,1,1.0,742.0,0,0,0.0
GEO007,geography,llama31_8b,gold,1,1.0,840.0,0,0,0.0
GEO007,geography,llama31_8b,para,1,1.0,933.0,0,0,0.0
GEO007,geography,llama31_8b,para_dist,1,1.0,828.0,0,0,0.0
GEO008,geography,llama31_8b,dist,1,1.0,893.0,0,0,0.0
GEO008,geography,llama31_8b,gold,1,1.0,854.0,0,0,0.0
GEO008,geography,llama31_8b,para,1,1.0,851.0,0,0,0.0
GEO008,geography,llama31_8b,para_dist,1,1.0,926.0,0,0,0.0
GEO009,geography,llama31_8b,dist,0,0.8,819.0,0,0,0.0
GEO009,geography,llama31_8b,gold,0,0.8,821.0,0,0,0.0
GEO009,geography,llama31_8b,para,1,1.0,819.0,0,0,0.0
GEO009,geography,llama31_8b,para_dist,0,0.8,913.0,0,0,0.0
GEO010,geography,llama31_8b,dist,1,1.0,819.0,0,0,0.0
GEO010,geography,llama31_8b,gold,1,1.0,923.0,0,0,0.0
GEO010,geography,llama31_8b,para,1,1.0,914.0,0,0,0.0
GEO010,geography,llama31_8b,para_dist,1,1.0,918.0,0,0,0.0
HIST001,history,llama31_8b,dist,1,1.0,913.0,0,0,0.0
HIST001,history,llama31_8b,gold,1,1.0,1059.0,0,0,0.0
HIST001,history,llama31_8b,para,1,1.0,805.0,0,0,0.0
HIST001,history,llama31_8b,para_dist,1,1.0,920.0,0,0,0.0
HIST002,history,llama31_8b,dist,0,0.8,820.0,0,0,0.0
HIST002,history,llama31_8b,gold,1,1.0,875.0,0,0,0.0
HIST002,history,llama31_8b,para,0,0.0,894.0,0,0,0.0
HIST002,history,llama31_8b,para_dist,0,0.0,919.0,0,0,0.0
HIST003,history,llama31_8b,dist,1,1.0,891.0,0,0,0.0
HIST003,history,llama31_8b,gold,1,1.0,921.0,0,0,0.0
HIST003,history,llama31_8b,para,1,1.0,921.0,0,0,0.0
HIST003,history,llama31_8b,para_dist,1,1.0,854.0,0,0,0.0
HIST004,history,llama31_8b,dist,1,1.0,819.0,0,0,0.0
HIST004,history,llama31_8b,gold,1,1.0,919.0,0,0,0.0
HIST004,history,llama31_8b,para,1,1.0,974.0,0,0,0.0
HIST004,history,llama31_8b,para_dist,1,1.0,902.0,0,0,0.0
HIST005,history,llama31_8b,dist,1,1.0,816.0,0,0,0.0
HIST005,history,llama31_8b,gold,1,1.0,844.0,0,0,0.0
HIST005,history,llama31_8b,para,1,1.0,1023.0,0,0,0.0
HIST005,history,llama31_8b,para_dist,1,1.0,923.0,0,0,0.0
HIST006,history,llama31_8b,dist,1,1.0,916.0,0,0,0.0
HIST006,history,llama31_8b,gold,1,1.0,817.0,0,0,0.0
HIST006,history,llama31_8b,para,0,0.0,944.0,0,0,0.0
HIST006,history,llama31_8b,para_dist,0,0.0,902.0,0,0,0.0
HIST007,history,llama31_8b,dist,1,1.0,724.0,0,0,0.0
HIST007,history,llama31_8b,gold,1,1.0,921.0,0,0,0.0
HIST007,history,llama31_8b,para,1,1.0,736.0,0,0,0.0
HIST007,history,llama31_8b,para_dist,1,1.0,753.0,0,0,0.0
HIST008,history,llama31_8b,dist,1,1.0,928.0,0,0,0.0
HIST008,history,llama31_8b,gold,1,1.0,811.0,0,0,0.0
HIST008,history,llama31_8b,para,1,1.0,900.0,0,0,0.0
HIST008,history,llama31_8b,para_dist,1,1.0,850.0,0,0,0.0
HIST009,history,llama31_8b,dist,1,1.0,1227.0,0,0,0.0
HIST009,history,llama31_8b,gold,1,1.0,808.0,0,0,0.0
HIST009,history,llama31_8b,para,1,1.0,918.0,0,0,0.0
HIST009,history,llama31_8b,para_dist,1,1.0,917.0,0,0,0.0
HIST010,history,llama31_8b,dist,0,0.5,815.0,0,0,0.0
HIST010,history,llama31_8b,gold,0,0.6666666666666666,818.0,0,0,0.0
HIST010,history,llama31_8b,para,0,0.5,874.0,0,0,0.0
HIST010,history,llama31_8b,para_dist,0,0.6666666666666666,866.0,0,0,0.16666666666666663
LIT001,literature,llama31_8b,dist,1,1.0,805.0,0,0,0.0
LIT001,literature,llama31_8b,gold,1,1.0,809.0,0,0,0.0
LIT001,literature,llama31_8b,para,1,1.0,764.0,0,0,0.0
LIT001,literature,llama31_8b,para_dist,1,1.0,867.0,0,0,0.0
LIT002,literature,llama31_8b,dist,1,1.0,804.0,0,0,0.0
LIT002,literature,llama31_8b,gold,1,1.0,960.0,0,0,0.0
LIT002,literature,llama31_8b,para,1,1.0,821.0,0,0,0.0
