qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,mistral7b,dist,0,0.33333333333333337,1013.0,0,0,0.09803921568627455
GEO001,geography,mistral7b,gold,0,0.3636363636363636,918.0,0,0,0.03030303030303022
GEO001,geography,mistral7b,para,0,0.3636363636363636,967.0,0,0,0.0
GEO001,geography,mistral7b,para_dist,0,0.4,1020.0,0,0,0.0
GEO002,geography,mistral7b,dist,0,0.3636363636363636,850.0,0,0,0.0
GEO002,geography,mistral7b,gold,0,0.6666666666666666,778.0,0,0,0.30303030303030304
GEO002,geography,mistral7b,para,1,1.0,872.0,0,0,0.0
GEO002,geography,mistral7b,para_dist,0,0.6666666666666666,920.0,0,0,0.33333333333333337
GEO003,geography,mistral7b,dist,1,1.0,843.0,0,0,0.0
GEO003,geography,mistral7b,gold,1,1.0,819.0,0,0,0.0
GEO003,geography,mistral7b,para,1,1.0,920.0,0,0,0.0
GEO003,geography,mistral7b,para_dist,1,1.0,817.0,0,0,0.0
GEO004,geography,mistral7b,dist,1,1.0,888.0,0,0,0.0
GEO004,geography,mistral7b,gold,1,1.0,933.0,0,0,0.0
GEO004,geography,mistral7b,para,1,1.0,928.0,0,0,0.0
GEO004,geography,mistral7b,para_dist,1,1.0,953.0,0,0,0.0
GEO005,geography,mistral7b,dist,1,1.0,916.0,0,0,0.0
GEO005,geography,mistral7b,gold,1,1.0,769.0,0,0,0.0
GEO005,geography,mistral7b,para,1,1.0,878.0,0,0,0.0
GEO005,geography,mistral7b,para_dist,1,1.0,1024.0,0,0,0.0
GEO006,geography,mistral7b,dist,0,0.5,819.0,0,0,0.0
GEO006,geography,mistral7b,gold,1,1.0,813.0,0,0,0.0
GEO006,geography,mistral7b,para,1,1.0,997.0,0,0,0.0
GEO006,geography,mistral7b,para_dist,1,1.0,1032.0,0,0,0.0
GEO007,geography,mistral7b,dist,1,1.0,819.0,0,0,0.0
GEO007,geography,mistral7b,gold,1,1.0,1011.0,0,0,0.0
GEO007,geography,mistral7b,para,1,1.0,911.0,0,0,0.0
GEO007,geography,mistral7b,para_dist,1,1.0,818.0,0,0,0.0
GEO008,geography,mistral7b,dist,1,1.0,889.0,0,0,0.0
GEO008,geography,mistral7b,gold,1,1.0,938.0,0,0,0.0
GEO008,geography,mistral7b,para,1,1.0,921.0,0,0,0.0
GEO008,geography,mistral7b,para_dist,1,1.0,905.0,0,0,0.0
GEO009,geography,mistral7b,dist,0,0.4444444444444445,799.0,0,0,0.0
GEO009,geography,mistral7b,gold,0,0.8,819.0,0,0,0.0
GEO009,geography,mistral7b,para,1,1.0,818.0,0,0,0.0
GEO009,geography,mistral7b,para_dist,0,0.8,857.0,0,0,0.0
GEO010,geography,mistral7b,dist,1,1.0,818.0,0,0,0.0
GEO010,geography,mistral7b,gold,1,1.0,898.0,0,0,0.0
GEO010,geography,mistral7b,para,1,1.0,841.0,0,0,0.0
GEO010,geography,mistral7b,para_dist,1,1.0,886.0,0,0,0.0
HIST001,history,mistral7b,dist,1,1.0,831.0,0,0,0.0
HIST001,history,mistral7b,gold,1,1.0,984.0,0,0,0.0
HIST001,history,mistral7b,para,1,1.0,907.0,0,0,0.0
HIST001,history,mistral7b,para_dist,1,1.0,910.0,0,0,0.0
HIST002,history,mistral7b,dist,1,1.0,918.0,0,0,0.0
HIST002,history,mistral7b,gold,0,0.2857142857142857,924.0,0,0,0.0
HIST002,history,mistral7b,para,0,0.0,920.0,0,0,0.0
HIST002,history,mistral7b,para_dist,0,0.0,925.0,0,0,0.0
HIST003,history,mistral7b,dist,1,1.0,845.0,0,0,0.0
HIST003,history,mistral7b,gold,1,1.0,912.0,0,0,0.0
HIST003,history,mistral7b,para,1,1.0,802.0,0,0,0.0
HIST003,history,mistral7b,para_dist,1,1.0,818.0,0,0,0.0
HIST004,history,mistral7b,dist,0,0.6666666666666666,1023.0,0,0,0.0
HIST004,history,mistral7b,gold,1,1.0,820.0,0,0,0.0
HIST004,history,mistral7b,para,1,1.0,1018.0,0,0,0.0
