qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,gpt4o,dist,0,0.0,930.0,0,0,0.0
GEO001,geography,gpt4o,gold,0,0.6666666666666666,738.0,0,0,0.0
GEO001,geography,gpt4o,para,0,0.6666666666666666,716.0,0,0,0.0
GEO001,geography,gpt4o,para_dist,0,0.6666666666666666,818.0,0,0,0.0
GEO002,geography,gpt4o,dist,0,0.6666666666666666,653.0,0,0,0.0
GEO002,geography,gpt4o,gold,0,0.6666666666666666,717.0,0,0,0.0
GEO002,geography,gpt4o,para,0,0.6666666666666666,511.0,0,0,0.0
GEO002,geography,gpt4o,para_dist,0,0.6666666666666666,919.0,0,0,0.0
GEO003,geography,gpt4o,dist,1,1.0,814.0,0,0,0.0
GEO003,geography,gpt4o,gold,1,1.0,615.0,0,0,0.0
GEO003,geography,gpt4o,para,1,1.0,818.0,0,0,0.0
GEO003,geography,gpt4o,para_dist,1,1.0,606.0,0,0,0.0
GEO004,geography,gpt4o,dist,1,1.0,717.0,0,0,0.0
GEO004,geography,gpt4o,gold,1,1.0,724.0,0,0,0.0
GEO004,geography,gpt4o,para,1,1.0,605.0,0,0,0.0
GEO004,geography,gpt4o,para_dist,1,1.0,538.0,0,0,0.0
GEO005,geography,gpt4o,dist,1,1.0,601.0,0,0,0.0
GEO005,geography,gpt4o,gold,1,1.0,714.0,0,0,0.0
GEO005,geography,gpt4o,para,1,1.0,480.0,0,0,0.0
GEO005,geography,gpt4o,para_dist,1,1.0,690.0,0,0,0.0
GEO006,geography,gpt4o,dist,1,1.0,898.0,0,0,0.0
GEO006,geography,gpt4o,gold,1,1.0,790.0,0,0,0.0
GEO006,geography,gpt4o,para,1,1.0,644.0,0,0,0.0
GEO006,geography,gpt4o,para_dist,1,1.0,918.0,0,0,0.0
GEO007,geography,gpt4o,dist,1,1.0,624.0,0,0,0.0
GEO007,geography,gpt4o,gold,1,1.0,1018.0,0,0,0.0
GEO007,geography,gpt4o,para,1,1.0,937.0,0,0,0.0
GEO007,geography,gpt4o,para_dist,1,1.0,1134.0,0,0,0.0
GEO008,geography,gpt4o,dist,1,1.0,898.0,0,0,0.0
GEO008,geography,gpt4o,gold,1,1.0,676.0,0,0,0.0
GEO008,geography,gpt4o,para,1,1.0,657.0,0,0,0.0
GEO008,geography,gpt4o,para_dist,1,1.0,1188.0,0,0,0.0
GEO009,geography,gpt4o,dist,0,0.8,921.0,0,0,0.0
GEO009,geography,gpt4o,gold,1,1.0,928.0,0,0,0.0
GEO009,geography,gpt4o,para,1,1.0,760.0,0,0,0.0
GEO009,geography,gpt4o,para_dist,0,0.8,717.0,0,0,0.0
GEO010,geography,gpt4o,dist,1,1.0,705.0,0,0,0.0
GEO010,geography,gpt4o,gold,1,1.0,1124.0,0,0,0.0
GEO010,geography,gpt4o,para,1,1.0,726.0,0,0,0.0
GEO010,geography,gpt4o,para_dist,1,1.0,615.0,0,0,0.0
HIST001,history,gpt4o,dist,1,1.0,713.0,0,0,0.0
HIST001,history,gpt4o,gold,1,1.0,1232.0,0,0,0.0
HIST001,history,gpt4o,para,1,1.0,775.0,0,0,0.0
HIST001,history,gpt4o,para_dist,1,1.0,782.0,0,0,0.0
HIST002,history,gpt4o,dist,1,1.0,546.0,0,0,0.0
HIST002,history,gpt4o,gold,1,1.0,585.0,0,0,0.0
HIST002,history,gpt4o,para,0,0.0,750.0,0,0,0.0
HIST002,history,gpt4o,para_dist,0,0.0,691.0,0,0,0.0
HIST003,history,gpt4o,dist,1,1.0,625.0,0,0,0.0
HIST003,history,gpt4o,gold,1,1.0,834.0,0,0,0.0
HIST003,history,gpt4o,para,1,1.0,714.0,0,0,0.0
HIST003,history,gpt4o,para_dist,1,1.0,610.0,0,0,0.0
HIST004,history,gpt4o,dist,1,1.0,1125.0,0,0,0.0
HIST004,history,gpt4o,gold,1,1.0,725.0,0,0,0.0
HIST004,history,gpt4o,para,1,1.0,715.0,0,0,0.0
HIST004,history,gpt4o,para_dist,1,1.0,918.0,0,0,0.0
HIST005,history,gpt4o,dist,1,1.0,915.0,0,0,0.0
HIST005,history,gpt4o,gold,1,1.0,920.0,0,0,0.0
HIST005,history,gpt4o,para,1,1.0,978.0,0,0,0.0
HIST005,history,gpt4o,para_dist,1,1.0,645.0,0,0,0.0
HIST006,history,gpt4o,dist,1,1.0,579.0,0,0,0.0
HIST006,history,gpt4o,gold,1,1.0,596.0,0,0,0.0
HIST006,history,gpt4o,para,0,0.0,760.0,0,0,0.0
HIST006,history,gpt4o,para_dist,0,0.0,918.0,0,0,0.0
HIST007,history,gpt4o,dist,1,1.0,873.0,0,0,0.0
HIST007,history,gpt4o,gold,1,1.0,549.0,0,0,0.0
HIST007,history,gpt4o,para,1,1.0,819.0,0,0,0.0
HIST007,history,gpt4o,para_dist,1,1.0,824.0,0,0,0.0
HIST008,history,gpt4o,dist,1,1.0,718.0,0,0,0.0
HIST008,history,gpt4o,gold,1,1.0,792.0,0,0,0.0
HIST008,history,gpt4o,para,1,1.0,820.0,0,0,0.0
HIST008,history,gpt4o,para_dist,1,1.0,612.0,0,0,0.0
HIST009,history,gpt4o,dist,1,1.0,817.0,0,0,0.0
HIST009,history,gpt4o,gold,1,1.0,584.0,0,0,0.0
HIST009,history,gpt4o,para,1,1.0,745.0,0,0,0.0
HIST009,history,gpt4o,para_dist,1,1.0,525.0,0,0,0.0
HIST010,history,gpt4o,dist,0,0.6666666666666666,795.0,0,0,0.0
HIST010,history,gpt4o,gold,0,0.6666666666666666,805.0,0,0,0.0
HIST010,history,gpt4o,para,0,0.6666666666666666,730.0,0,0,0.0
HIST010,history,gpt4o,para_dist,0,0.6666666666666666,630.0,0,0,0.0
LIT001,literature,gpt4o,dist,1,1.0,929.0,0,0,0.0
LIT001,literature,gpt4o,gold,1,1.0,921.0,0,0,0.0
LIT001,literature,gpt4o,para,1,1.0,754.0,0,0,0.0
LIT001,literature,gpt4o,para_dist,1,1.0,604.0,0,0,0.0
LIT002,literature,gpt4o,dist,1,1.0,1026.0,0,0,0.0
