qid,domain,model,setting,em_majority,f1_median,latency_median_ms,refusal_any,invalid_any,stability_mad_f1
GEO001,geography,gpt4o_mini,dist,0,0.0,819.0,0,0,0.0
GEO001,geography,gpt4o_mini,gold,0,0.5,818.0,0,0,0.0
GEO001,geography,gpt4o_mini,para,1,1.0,717.0,0,0,0.0
GEO001,geography,gpt4o_mini,para_dist,1,1.0,715.0,0,0,0.0
GEO002,geography,gpt4o_mini,dist,1,1.0,600.0,0,0,0.0
GEO002,geography,gpt4o_mini,gold,0,0.6666666666666666,823.0,0,0,0.0
GEO002,geography,gpt4o_mini,para,0,0.6666666666666666,730.0,0,0,0.0
GEO002,geography,gpt4o_mini,para_dist,0,0.6666666666666666,663.0,0,0,0.0
GEO003,geography,gpt4o_mini,dist,1,1.0,714.0,0,0,0.0
GEO003,geography,gpt4o_mini,gold,1,1.0,600.0,0,0,0.0
GEO003,geography,gpt4o_mini,para,1,1.0,513.0,0,0,0.0
GEO003,geography,gpt4o_mini,para_dist,1,1.0,720.0,0,0,0.0
GEO004,geography,gpt4o_mini,dist,1,1.0,584.0,0,0,0.0
GEO004,geography,gpt4o_mini,gold,1,1.0,727.0,0,0,0.0
GEO004,geography,gpt4o_mini,para,1,1.0,553.0,0,0,0.0
GEO004,geography,gpt4o_mini,para_dist,1,1.0,734.0,0,0,0.0
GEO005,geography,gpt4o_mini,dist,1,1.0,704.0,0,0,0.0
GEO005,geography,gpt4o_mini,gold,1,1.0,644.0,0,0,0.0
GEO005,geography,gpt4o_mini,para,1,1.0,662.0,0,0,0.0
GEO005,geography,gpt4o_mini,para_dist,1,1.0,517.0,0,0,0.0
GEO006,geography,gpt4o_mini,dist,1,1.0,722.0,0,0,0.0
GEO006,geography,gpt4o_mini,gold,1,1.0,809.0,0,0,0.0
GEO006,geography,gpt4o_mini,para,1,1.0,618.0,0,0,0.0
GEO006,geography,gpt4o_mini,para_dist,1,1.0,603.0,0,0,0.0
GEO007,geography,gpt4o_mini,dist,1,1.0,830.0,0,0,0.0
GEO007,geography,gpt4o_mini,gold,1,1.0,616.0,0,0,0.0
GEO007,geography,gpt4o_mini,para,1,1.0,717.0,0,0,0.0
GEO007,geography,gpt4o_mini,para_dist,1,1.0,732.0,0,0,0.0
GEO008,geography,gpt4o_mini,dist,1,1.0,719.0,0,0,0.0
GEO008,geography,gpt4o_mini,gold,1,1.0,707.0,0,0,0.0
GEO008,geography,gpt4o_mini,para,1,1.0,617.0,0,0,0.0
GEO008,geography,gpt4o_mini,para_dist,1,1.0,819.0,0,0,0.0
GEO009,geography,gpt4o_mini,dist,1,1.0,614.0,0,0,0.0
GEO009,geography,gpt4o_mini,gold,1,1.0,738.0,0,0,0.0
GEO009,geography,gpt4o_mini,para,1,1.0,605.0,0,0,0.0
GEO009,geography,gpt4o_mini,para_dist,1,1.0,827.0,0,0,0.0
GEO010,geography,gpt4o_mini,dist,1,1.0,602.0,0,0,0.0
GEO010,geography,gpt4o_mini,gold,1,1.0,609.0,0,0,0.0
GEO010,geography,gpt4o_mini,para,1,1.0,562.0,0,0,0.0
GEO010,geography,gpt4o_mini,para_dist,1,1.0,717.0,0,0,0.0
HIST001,history,gpt4o_mini,dist,1,1.0,816.0,0,0,0.0
HIST001,history,gpt4o_mini,gold,1,1.0,1219.0,0,0,0.0
HIST001,history,gpt4o_mini,para,1,1.0,771.0,0,0,0.0
HIST001,history,gpt4o_mini,para_dist,1,1.0,801.0,0,0,0.0
HIST002,history,gpt4o_mini,dist,1,1.0,717.0,0,0,0.0
HIST002,history,gpt4o_mini,gold,1,1.0,716.0,0,0,0.0
